Movement Restrictions															
															
IN1014	International	Cape Verde	Nigeria	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	19/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Cape Verde banned entry to travellers from Nigeria for three months.
IN1015	International	Rwanda	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	22/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Rwanda has banned entry to travellers who have visited Guinea, Liberia or Sierra Leone in the 22 days prior to travel.
IN1016	International	South Africa	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	21/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	South Africa restricted entry to all non-citizens travelling from Guinea, Liberia and Sierra Leone although assured that this could be waived for 'absolutely essential travel'.
IN1017	International	Kenya	Guinea / Liberia / Sierra Leone	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	19/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Kenya has suspended entry of travellers from Guinea, Liberia and Sierra Leone excluding health professionals supporting Ebola response and/or Kenyan citizens.
IN1018	International	Gabon	Ebola Infected Areas	Border Closure	Flight Restrictions	n/a	n/a	n/a	n/a	n/a	n/a	22/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Gabon has banned all flights from countries affected by Ebola.
IN1019	International	Senegal	Guinea	Border Closure	Land Border	n/a	n/a	n/a	n/a	n/a	n/a	21/08/2014	n/a	BBC News - Senegal Defends Guinea Border Closure	Senegal has re-closed land border with Guinea. Supposedly humanitarian transport is allowed through but this has been disputed by those in the field.
IN1020	International	Liberia	All (except three crossings)	Border Closure	Land Border	n/a	n/a	n/a	n/a	n/a	n/a	27/07/2014	n/a	Daily Mail - Liberia President Orders New Anti Ebola Measures	All borders closed except for three: one into sierra leone (Bo Waterside Crossing), one into guinea (Foya Crossing) and one that crosses both (Ganta Crossing).
IN1021	International	Liberia	All (except one crossing)	Border Closure	Land Border	n/a	n/a	n/a	n/a	n/a	n/a	01/09/2014	n/a	FCO - Foreign Travel Advice Liberia	The Bo Waterside Crossing to Sierra Leone and the Foya Crossing to Guinea are now also closed.
IN1022	International	Ivory Coast	Guinea / Liberia	Border Closure	Land Border	n/a	n/a	n/a	n/a	n/a	n/a	23/08/2014	n/a	AF Reuters - Ivory Coast Closes Border	Ivory Coast closes land border with Liberia and Guinea and all official entry points into Liberia and Guinea are closed. Announced opening of 'humanitarian corridor' on 1/9/14.
IN1023	International	Guinea	Liberia / Sierra Leone	Border Closure	Land Border	n/a	n/a	n/a	n/a	n/a	n/a	09/08/2014	n/a	The Guardian - Guinea Closes Borders / Xinhuanet - Guinea Sets Up Anti-Ebola Measures	Guinea closes land borders with Sierra Leone and Liberia. Guinean government plans to set up 15 health control points along these borders.
IN1024	International	Guinea-Bissau	Guinea	Border Closure	Land Border	n/a	n/a	n/a	n/a	n/a	n/a	12/08/2014	n/a	Reuters - Guinea-Bissau closes border with Guinea	Guinea-Bissau closes land border with Guinea.
IN1025	International	Chad	Nigeria	Border Closure	Land Border	n/a	n/a	n/a	n/a	n/a	n/a	21/08/2014	20/09/2014	ITV - Chad to close borders with Nigeria in bid to stop Ebola / OCHA - West and Central Africa Region Weekly Regional Humanitarian Snapshot	Chad closed land border with Nigeria at Lake Chad. On 20/9/14, Chad opened a corridor along the border with Nigeria to permit trade between the two countries.
IN1026	International	Cameroon	Nigeria	Border Closure	Land Border	n/a	n/a	n/a	n/a	n/a	n/a	19/08/2014	n/a	IRIN - West Africa gears up to contain Ebola spread	Cameroon closed land border with Nigeria. Note refugees fleeing Boko Haram attacks have been crossing the border.
IN1027	International	Ivory Coast	Ebola Infected Areas	Border Closure	Sea Border	n/a	n/a	n/a	n/a	n/a	n/a	12/08/2014	17/08/2014	AllAfrica - Ivory Coast Imposed Economic Blockade	Ivory Coast temporarily blocked access to sea ports being used as a trans-shipment point under the ebola outbreak.
IN1028	International	Liberia	All	Border Closure	Sea Border	n/a	n/a	n/a	n/a	n/a	n/a	30/08/2014	n/a	Channel News Asia - Seaport Restrictions	Liberia denying any crew to disembark at seaports until Ebola epidemic subsided.
IN1029	International	Cameroon	Nigeria	Border Closure	Sea Border	n/a	n/a	n/a	n/a	n/a	n/a	19/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Cameroon closed sea border with Nigeria.
IN1030	International	Senegal	Guinea / Liberia / Sierra Leone	Border Closure	Sea Border	n/a	n/a	n/a	n/a	n/a	n/a	21/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Senegal closed its sea border to vessels from Guinea, Liberia and Sierra Leone.
IN1031	International	Gabon	Ebola Infected Areas	Border Closure	Sea Border	n/a	n/a	n/a	n/a	n/a	n/a	22/08/2014	n/a	International SOS - Travel security advisories - Flight bans and closures	Gabon has banned all ships from countries affected by Ebola.
															
id	Scale_of_restriction	Country	Location	Type_of_restriction	Nature_of_restriction	adm1	adm1_id	adm2	adm2_id	adm3	adm3_id	Date_from	Date_to	Source	Notes
SL1001	Domestic	Sierra Leone	Sierra Leone	National Law	Community Response	n/a	n/a	n/a	n/a	n/a	n/a	22/08/2014	n/a	Channel News Asia - Sierra Leone Law Ebola Victims	Outlawed the “harbouring” of Ebola victims - risk a jail sentence of up to two years.
SL1002	Domestic	Sierra Leone	Sierra Leone	National Law	Movement Order	n/a	n/a	n/a	n/a	n/a	n/a	19/09/2014	21/09/2014	Vox - Lockdown MSF	Entire population not allowed to leave homes for 3 days to reduce spread.
SL1003	Domestic	Sierra Leone	Kailahun	Area Blockade	Quarantine	Eastern	SLE01	Kailahun	SLE0101	n/a	n/a	07/08/2014	n/a	Business Council Africa - African Security Issues 	Blocking cars from moving in and out of affected areas. 16 checkpoints on major roads and foot patrols.
SL1004	Domestic	Sierra Leone	Kenema	Area Blockade	Quarantine	Eastern	SLE01	Kenema	SLE0102	n/a	n/a	07/08/2014	n/a	Business Council Africa - African Security Issues 	Blocking cars from moving in and out of affected areas. 16 checkpoints on major roads and foot patrols.
SL1005	Domestic	Sierra Leone	Port Loko	Area Blockade	Quarantine	Northern	SLE02	Port Loko	SLE0204	n/a	n/a	25/09/2014	n/a	Agence France-Presse - Sierra Leone quarentines one million / City Press - Ebola: Sierra Leone quarantines	Corridors for travel to and from non-quarantined areas have been established but will only operate between 9am and 5pm.
SL1006	Domestic	Sierra Leone	Bombali	Area Blockade	Quarantine	Northern	SLE02	Bombali	SLE0201	n/a	n/a	25/09/2014	n/a	Agence France-Presse - Sierra Leone quarentines one million / City Press - Ebola: Sierra Leone quarantines	Corridors for travel to and from non-quarantined areas have been established but will only operate between 9am and 5pm.
SL1007	Domestic	Sierra Leone	Moyamba	Area Blockade	Quarantine	Southern	SLE03	Moyamba	SLE0303	n/a	n/a	25/09/2014	n/a	Agence France-Presse - Sierra Leone quarentines one million / City Press - Ebola: Sierra Leone quarantines	Corridors for travel to and from non-quarantined areas have been established but will only operate between 9am and 5pm.
SL1008	Domestic	Sierra Leone	Marampa	Area Blockade	Quarantine	Northern	SLE02	Port Loko	SLE0204	Marampa	SLE0204083	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1009	Domestic	Sierra Leone	Buya Romende	Area Blockade	Quarantine	Northern	SLE02	Port Loko	SLE0204	Buya Romende	SLE0204077	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1010	Domestic	Sierra Leone	Maforki	Area Blockade	Quarantine	Northern	SLE02	Port Loko	SLE0204	Maforki	SLE0204082	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1011	Domestic	Sierra Leone	Bkm (aka Bureh)	Area Blockade	Quarantine	Northern	SLE02	Port Loko	SLE0204	Bkm (aka Bureh)	SLE0204076	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1012	Domestic	Sierra Leone	Koya	Area Blockade	Quarantine	Northern	SLE02	Port Loko	SLE0204	Koya	SLE0204080	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1013	Domestic	Sierra Leone	Masimera 	Area Blockade	Quarantine	Northern	SLE02	Port Loko	SLE0204	Masimera 	SLE0204084	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1014	Domestic	Sierra Leone	Bombali Shebora	Area Blockade	Quarantine	Northern	SLE02	Bombali	SLE0201	Bombali Shebora	SLE0201046	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1015	Domestic	Sierra Leone	Makarie Gbanti	Area Blockade	Quarantine	Northern	SLE02	Bombali	SLE0201	Makarie Gbanti	SLE0201051	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1016	Domestic	Sierra Leone	Gbendembu Gowahun	Area Blockade	Quarantine	Northern	SLE02	Bombali	SLE0201	Gbendembu Gowahun	SLE0201048	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1017	Domestic	Sierra Leone	Paki Masabong	Area Blockade	Quarantine	Northern	SLE02	Bombali	SLE0201	Paki Masabong	SLE0201052	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1018	Domestic	Sierra Leone	Fakunya	Area Blockade	Quarantine	Southern	SLE03	Moyamba	SLE0303	Fakunya	SLE0303128	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1019	Domestic	Sierra Leone	Lower Banta (aka Banta Gbangbatote)	Area Blockade	Quarantine	Southern	SLE03	Moyamba	SLE0303	Lower Banta (aka Banta Gbangbatote)	SLE0303124	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1020	Domestic	Sierra Leone	Bumpeh 	Area Blockade	Quarantine	Southern	SLE03	Moyamba	SLE0303	Bumpeh 	SLE0303126	25/09/2014	n/a	Government of Sierra Leone - Press Release (Measures to end Ebola outbreak) 	Residents in these chiefdoms must not travel to any other chiefdom until further notice.
SL1021	Domestic	Sierra Leone	Pehe Bongre	Area Blockade	Restricted Movement	Eastern	SLE01	Kailahun	SLE0101	Pehe Bongre	SLE0101010	12/08/2014	n/a	Newsweek - Sierra Leone Jokibu Quarantine	Local villages imposing own methods of quarantine.
SL1022	Domestic	Sierra Leone	Makpele	Area Blockade	Potential	Southern	SLE03	Pujehun	SLE0304	Makpele	SLE0304140	n/a	n/a	Government of Sierra Leone - Press Release	Homes will be quarantined when suspected cases are identified.
SL1023	Domestic	Sierra Leone	Tane	Area Blockade	Potential	Northern	SLE02	Tonkolili	SLE0205	Tane	SLE0205096	n/a	n/a	Government of Sierra Leone - Press Release	Homes will be quarantined when suspected cases are identified.
SL1024	Domestic	Sierra Leone	Gbonkolenken	Area Blockade	Potential	Northern	SLE02	Tonkolili	SLE0205	Gbonkolenken	SLE0205087	n/a	n/a	Government of Sierra Leone - Press Release	Homes will be quarantined when suspected cases are identified.
SL1025	Domestic	Sierra Leone	Mambolo	Area Blockade	Potential	Northern	SLE02	Kambia	SLE0202	Mambolo	SLE0202061	n/a	n/a	Government of Sierra Leone - Press Release	Homes will be quarantined when suspected cases are identified.
															
LB1001	Domestic	Liberia	Liberia	National Law	Movement Order	n/a	n/a	n/a	n/a	n/a	n/a	01/08/2014	n/a	AllAfrica - Liberia: Stay Home Orders Extended	All non-essential workers have been told not to come to work with promise that all government workers would still be paid.
LB1002	Domestic	Liberia	Liberia	National Law	Movement Order	n/a	n/a	n/a	n/a	n/a	n/a	01/08/2014	n/a	BBC News - Ebola: Liberia Shuts Schools to Tackle Outbreak	All schools are closed.
LB1003	Domestic	Liberia	Liberia	National Law	Movement Order	n/a	n/a	n/a	n/a	n/a	n/a	20/08/2014	07/09/2014	Al Jazeera - Liberia Declares Curfew	Night-time curfew of 21.00-06.00 imposed. No mentioned of the breach consequences.
LB1004	Domestic	Liberia	Liberia	National Law	Movement Order	n/a	n/a	n/a	n/a	n/a	n/a	08/09/2014	n/a	AllAfrica - Government lifts quarantine and adjust curfew	Night-time curfew updated to 23.00-06.00 for more reasonable hours longer term.
LB1005	Domestic	Liberia	Bomi	Area Blockade	Quarantine	Bomi	LBR01	n/a	n/a	n/a	n/a	08/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Quarantined by government. Military checkpoints and restricted movement of people.
LB1006	Domestic	Liberia	Bong	Area Blockade	Quarantine	Bong	LBR02	n/a	n/a	n/a	n/a	08/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Quarantined by government. Military checkpoints and restricted movement of people.
LB1007	Domestic	Liberia	Grand Cape Mount	Area Blockade	Quarantine	Grand Cape Mount	LBR05	n/a	n/a	n/a	n/a	08/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Quarantined by government. Military checkpoints and restricted movement of people. 35 known "illegal" entry points to Sierra Leone with order of shoot on sight.
LB1008	Domestic	Liberia	Lofa	Area Blockade	Quarantine	Lofa	LBR08	n/a	n/a	n/a	n/a	08/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Quarantined by government. Military checkpoints and restricted movement of people.
LB1009	Domestic	Liberia	Gbarpolu	Area Blockade	Quarantine	Gbarpolu	LBR03	n/a	n/a	n/a	n/a	08/08/2014	n/a	AllAfrica - Liberia Operation White Shield	Quarantined by government.
LB1010	Domestic	Liberia	Montserrado	Area Blockade	Restricted Movement	Montserrado	LBR11	n/a	n/a	n/a	n/a	14/08/2014	n/a	MoF Liberia - News Summary 	Restricted movement of people.
LB1011	Domestic	Liberia	Margibi	Area Blockade	Restricted Movement	Margibi	LBR09	n/a	n/a	n/a	n/a	14/08/2014	n/a	MoF Liberia - News Summary 	Restricted movement of people.
LB1012	Domestic	Liberia	Grand Bassa	Area Blockade	Restricted Movement	Grand Bassa	LBR04	n/a	n/a	n/a	n/a	14/08/2014	n/a	MoF Liberia - News Summary 	Restricted movement of people.
LB1013	Domestic	Liberia	Grand Gedeh	Area Blockade	Restricted Movement	Grand Gedeh	LBR06	n/a	n/a	n/a	n/a	14/08/2014	n/a	MoF Liberia - News Summary 	Restricted movement of people.
LB1014	Domestic	Liberia	Foya	Area Blockade	Quarantine	Lofa	LBR08	Foya	LBR0801	n/a	n/a	20/08/2014	n/a	International SOS - Latest News 	WHO quarantine zone.
LB1015	Domestic	Liberia	Bopolu	Area Blockade	Quarantine	Gbarpolu	LBR03	Bopolu	LBR0303	n/a	n/a	06/08/2014	n/a	Examiner - Ebola Cases Climb in Liberia and Sierra Leone	Military roadblocks.
LB1016	Domestic	Liberia	Klay	Area Blockade	Quarantine	Bomi	LBR01	Klay	LBR0102	n/a	n/a	06/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Military roadblocks.
LB1017	Domestic	Liberia	Firestone	Area Blockade	Quarantine	Margibi	LBR09	Firestone	LBR0901	n/a	n/a	20/08/2014	n/a	UNMIL - Situation Report	Quarantine led by AFL taskforce.
LB1018	Domestic	Liberia	West Point Slum (Monrovia)	Area Blockade	Quarantine	Montserrado	LBR11	Greater Monrovia	LBR1103	MISSING	MISSING	20/08/2014	31/08/2014	Associated Press - Liberian Forces Seal Slum / Reuters - Celebration in Liberia slum as Ebola quarantine lifted	Quarantine was controversial within the slum.
LB1019	Domestic	Liberia	Dolo Town	Area Blockade	Quarantine	Margibi	LBR09	Kakata	LBR0903	MISSING	MISSING	20/08/2014	08/09/2014	Daily Mail - Quarantined Gunpoint / AllAfrica - Government lifts Quarantine and adjust curfew	Weapon guarded quarantine with 20,000 people inside but lifted due to positive results vis-à-vis ebola.
LB1020	Domestic	Liberia	Monrovia City	Area Blockade	Restricted Movement	Montserrado	LBR11	Greater Monrovia	LBR1103	MISSING	MISSING	08/08/2014	n/a	Heritage Liberia - No Access to Bomi	Movement out of Monrovia - particularly towards quarantined Bomi - is being restricted by the military.
LB1021	Domestic	Liberia	Voinjama City	Area Blockade	Restricted Movement	Lofa	LBR08	Voinjama	LBR0806	Upper Worker	MISSING	06/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Restricted movement of people.
LB1022	Domestic	Liberia	Tubmanburg City	Area Blockade	Restricted Movement	Bomi	LBR01	Klay	LBR0102	Senjeh 	MISSING	06/08/2014	n/a	Heritage Liberia - No Access to Bomi	Restricted movement of people and military presence.
LB1023	Domestic	Liberia	Bo Waterside Town	Area Blockade	Restricted Movement	Grand Cape Mount	LBR05	Tewor	LBR0505	Fahnbulleh 	MISSING	06/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Restricted movement of people and military presence. Order to shoot at Sierra Leones crossing the border.
LB1024	Domestic	Liberia	Sinje Town	Area Blockade	Restricted Movement	Grand Cape Mount	LBR05	Garwula	LBR0502	Lower Garwula	MISSING	06/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Military presence.
LB1025	Domestic	Liberia	Po River Town	Area Blockade	Restricted Movement	Montserrado	LBR11	St. Paul River	LBR1104	MISSING	MISSING	06/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Military presence.
LB1026	Domestic	Liberia	Barkedu Town	Area Blockade	Restricted Movement	Lofa	LBR08	Quardu Boundi	LBR0803	MISSING	MISSING	06/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	Restricted movement of people and military presence.
LB1027	Domestic	Liberia	Bomba Town	Area Blockade	Restricted Movement	Gbarpolu	LBR03	Bopolu	LBR0303	MISSING	MISSING	06/08/2014	n/a	Examiner - Ebola Cases Climb in Liberia and Sierra Leone	Military roadblocks.
LB1028	Domestic	Liberia	Nimba	Border Closure	Local Border Crossing	Nimba	LBR12	n/a	n/a	n/a	n/a	17/08/2014	n/a	Daily Observer - Government Closes Nimba Grand Gedeh Boundary	The border crossing between Grand Gedeh and Nimba is closed. Crossing at Cestor River closed with military presence.
LB1029	Domestic	Liberia	Nimba	Border Closure	Local Border Crossing	Nimba	LBR12	n/a	n/a	n/a	n/a	13/08/2014	n/a	Daily Observer - Government Closes Nimba Grand Gedeh Boundary	The border crossing between Bong and Nimba (St Paul River) is closed.
LB1030	Domestic	Liberia	Lofa	Border Closure	Local Border Crossing	Lofa	LBR08	n/a	n/a	n/a	n/a	06/08/2014	n/a	Monrovia Inquirer - AFL Launches Operation White Shield	The border crossing between Lofa and Bong countries (St. Paul's Bridge) is closed with military checkpoint.
															
GN1001	Domestic	Guinea	Guinea	National Law	Movement Order	n/a	n/a	n/a	n/a	n/a	n/a	18/09/2014	n/a	Africa Review - Guinea postpones reopening of schools	Government announces schools will not open for the new school year until ebola has subsided.
GN1002	Domestic	Guinea	Guinea	National Law	Movement Order	n/a	n/a	n/a	n/a	n/a	n/a	13/08/2014	n/a	Guinea News - Health Emergency Declaration in Guinea	Non-specific 'cordon sanitaire' declared and restriction of movement mentioned.
GN1003	Domestic	Guinea	Macenta Ctre (City)	Area Blockade	Restricted Movement	Nzerekore	GIN008	Macenta	GIN008003	Macenta Ctre (City)	GIN00800308	08/09/2014	n/a	News Observer - Ebola surging in	Authorities restricting access.
GN1004	Domestic	Guinea	Nzerekore Ctre (City)	Area Blockade	Quarantine	Nzerekore	GIN008	Nzerekore	GIN008004	Nzerekore Ctre (City)	GIN00800406	29/08/2014	30/08/2014	Polity - Ebola outbreak reaches Senegal, riots break out in Guinea	24-hour curfew imposed after riots broke out in response to health workers spraying market with disinfectant without notice.
GN1005	Domestic	Guinea	Gueckedou	Area Blockade	Quarantine	Nzerekore	GIN008	Gueckedou	GIN008006	n/a	n/a	20/08/2014	n/a	International SOS - Latest News 	WHO quarantine zone.
															
NG1001	Domestic	Nigeria	Nigeria	National Law	Movement Order	n/a	n/a	n/a	n/a	n/a	n/a	27/08/2014	22/09/2014	BBC - Nigeria closes all schools / Agence France-Presse - Most, but not all, of Nigeria’s students back to school after Ebola lay off	The re-opening of schools was postponed until 22 September (earlier than original plan of 13 October) due to Ebola concerns.
NG1002	Domestic	Nigeria	Lagos	National Law	Movement Order	Lagos	NGA025	n/a	n/a	n/a	n/a	22/09/2014	08/10/2014	Agence France-Presse - Most, but not all, of Nigeria’s students back to school after Ebola lay off	School ban remains in Lagos until 8 October.
